Name,Status,Neighborhood,Tree Diameter
Callery pear,Alive,Upper East Side-Carnegie Hill,9
silver linden,Alive,Washington Heights South,8
Callery pear,Alive,Upper East Side-Carnegie Hill,9
Callery pear,Alive,Washington Heights South,6
Callery pear,Alive,Upper East Side-Carnegie Hill,14
Callery pear,Alive,Washington Heights South,6
littleleaf linden,Alive,Battery Park City-Lower Manhattan,10
littleleaf linden,Alive,Battery Park City-Lower Manhattan,9
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
Callery pear,Alive,Battery Park City-Lower Manhattan,6
Callery pear,Alive,Central Harlem North-Polo Grounds,8
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
Callery pear,Alive,Manhattanville,7
Callery pear,Alive,Upper West Side,4
littleleaf linden,Alive,Upper East Side-Carnegie Hill,7
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,13
littleleaf linden,Alive,Battery Park City-Lower Manhattan,9
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,13
silver linden,Alive,Washington Heights South,2
Callery pear,Alive,Battery Park City-Lower Manhattan,7
Callery pear,Alive,Washington Heights South,8
Callery pear,Alive,Yorkville,11
silver linden,Alive,Washington Heights South,3
Callery pear,Alive,Upper West Side,9
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
silver linden,Alive,Washington Heights South,2
Callery pear,Alive,Central Harlem North-Polo Grounds,10
Callery pear,Alive,Yorkville,4
littleleaf linden,Alive,Central Harlem North-Polo Grounds,8
littleleaf linden,Alive,Central Harlem North-Polo Grounds,7
littleleaf linden,Alive,East Harlem North,7
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
littleleaf linden,Alive,Battery Park City-Lower Manhattan,10
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
Callery pear,Alive,West Village,8
Callery pear,Alive,Murray Hill-Kips Bay,5
Callery pear,Alive,Washington Heights South,4
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
Callery pear,Alive,Upper East Side-Carnegie Hill,5
Callery pear,Alive,Upper East Side-Carnegie Hill,15
silver linden,Alive,Battery Park City-Lower Manhattan,4
Callery pear,Alive,Murray Hill-Kips Bay,15
Callery pear,Alive,Upper East Side-Carnegie Hill,7
Callery pear,Alive,Battery Park City-Lower Manhattan,14
Callery pear,Alive,Upper East Side-Carnegie Hill,14
Japanese zelkova,Alive,Central Harlem North-Polo Grounds,8
Japanese zelkova,Alive,Central Harlem North-Polo Grounds,14
northern red oak,Alive,East Harlem North,3
Chinese elm,Alive,Upper East Side-Carnegie Hill,8
Japanese zelkova,Alive,Yorkville,9
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
Callery pear,Alive,Central Harlem North-Polo Grounds,13
Callery pear,Alive,West Village,9
Callery pear,Alive,Upper West Side,7
Chinese elm,Alive,East Harlem North,11
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
Japanese zelkova,Alive,East Harlem North,6
Callery pear,Alive,West Village,9
Callery pear,Alive,Manhattanville,7
Callery pear,Alive,Washington Heights South,11
Callery pear,Alive,Battery Park City-Lower Manhattan,5
cherry,Alive,Washington Heights North,7
Callery pear,Alive,Yorkville,8
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,5
silver linden,Alive,Washington Heights North,18
Callery pear,Alive,Washington Heights South,6
Callery pear,Alive,East Harlem North,7
Callery pear,Alive,Battery Park City-Lower Manhattan,10
silver linden,Alive,Washington Heights North,14
Callery pear,Alive,Murray Hill-Kips Bay,11
pin oak,Alive,Upper West Side,35
pin oak,Alive,Upper West Side,25
Callery pear,Alive,Manhattanville,4
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,5
English oak,Alive,Washington Heights South,4
Callery pear,Alive,West Village,11
silver linden,Alive,Upper East Side-Carnegie Hill,9
Callery pear,Alive,Murray Hill-Kips Bay,10
Callery pear,Alive,Washington Heights North,11
red maple,Alive,Hamilton Heights,2
silver linden,Alive,Washington Heights South,2
Callery pear,Alive,Battery Park City-Lower Manhattan,7
Callery pear,Alive,Battery Park City-Lower Manhattan,7
Callery pear,Alive,Central Harlem North-Polo Grounds,10
English oak,Alive,Central Harlem North-Polo Grounds,4
pin oak,Alive,Lenox Hill-Roosevelt Island,11
tree of heaven,Alive,Yorkville,4
silver linden,Alive,Washington Heights South,2
Callery pear,Alive,West Village,13
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
Callery pear,Alive,Washington Heights South,5
pin oak,Alive,Washington Heights North,3
pin oak,Alive,Lincoln Square,14
pin oak,Alive,Washington Heights South,16
pin oak,Alive,Washington Heights South,9
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,5
red maple,Alive,Washington Heights South,3
cherry,Alive,East Harlem North,4
pin oak,Alive,Lenox Hill-Roosevelt Island,11
pin oak,Alive,Washington Heights South,23
cherry,Alive,East Harlem North,4
pin oak,Alive,Battery Park City-Lower Manhattan,8
pin oak,Alive,Clinton,4
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
red maple,Alive,Hamilton Heights,6
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
pin oak,Alive,East Harlem North,5
pin oak,Alive,Central Harlem North-Polo Grounds,13
red maple,Alive,Washington Heights South,4
English oak,Alive,Washington Heights South,4
hedge maple,Alive,Washington Heights South,3
purple-leaf plum,Alive,Central Harlem North-Polo Grounds,4
cherry,Alive,Turtle Bay-East Midtown,5
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
pin oak,Alive,Washington Heights North,21
pin oak,Alive,East Harlem North,3
cherry,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
English oak,Alive,Washington Heights South,4
sawtooth oak,Alive,Upper West Side,21
sawtooth oak,Alive,Upper West Side,10
honeylocust,Alive,Yorkville,16
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
honeylocust,Alive,Central Harlem South,6
honeylocust,Alive,Upper East Side-Carnegie Hill,13
pin oak,Alive,Morningside Heights,6
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
American elm,Alive,Washington Heights South,19
ginkgo,Alive,Upper East Side-Carnegie Hill,11
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
ginkgo,Alive,Upper East Side-Carnegie Hill,9
honeylocust,Alive,Central Harlem North-Polo Grounds,12
honeylocust,Alive,Turtle Bay-East Midtown,4
honeylocust,Alive,Central Harlem North-Polo Grounds,10
honeylocust,Alive,Washington Heights North,13
Norway maple,Alive,Yorkville,7
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
pin oak,Alive,Central Harlem North-Polo Grounds,10
pin oak,Alive,East Harlem North,2
pin oak,Alive,East Harlem North,2
pin oak,Alive,Washington Heights North,10
pin oak,Alive,Yorkville,6
ginkgo,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Central Harlem North-Polo Grounds,8
honeylocust,Alive,Midtown-Midtown South,8
ginkgo,Alive,Clinton,5
American elm,Alive,Washington Heights South,6
American elm,Alive,Washington Heights South,4
London planetree,Alive,Marble Hill-Inwood,34
honeylocust,Alive,Battery Park City-Lower Manhattan,3
ginkgo,Alive,Upper West Side,6
honeylocust,Alive,Battery Park City-Lower Manhattan,10
honeylocust,Alive,Battery Park City-Lower Manhattan,9
honeylocust,Alive,Washington Heights South,11
honeylocust,Alive,Upper West Side,8
honeylocust,Alive,Washington Heights South,10
pin oak,Alive,Hamilton Heights,14
pin oak,Alive,Central Harlem North-Polo Grounds,17
'Schubert' chokecherry,Alive,West Village,5
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,14
ginkgo,Alive,Upper West Side,15
honeylocust,Alive,Midtown-Midtown South,3
Sophora,Alive,Washington Heights South,4
Sophora,Alive,Gramercy,18
Sophora,Alive,Manhattanville,12
sweetgum,Alive,Central Harlem North-Polo Grounds,2
Sophora,Alive,Central Harlem South,7
Sophora,Alive,Washington Heights South,11
black oak,Alive,Yorkville,13
northern red oak,Alive,Washington Heights North,4
Japanese zelkova,Alive,Washington Heights South,11
Chinese elm,Alive,Washington Heights North,15
northern red oak,Alive,Central Harlem North-Polo Grounds,5
American elm,Alive,Washington Heights North,19
London planetree,Alive,Washington Heights South,5
London planetree,Alive,Central Harlem North-Polo Grounds,4
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
pin oak,Alive,East Harlem North,8
pin oak,Alive,Turtle Bay-East Midtown,10
honeylocust,Alive,Midtown-Midtown South,3
honeylocust,Alive,Washington Heights South,9
honeylocust,Alive,East Harlem North,4
ginkgo,Alive,East Harlem North,4
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,11
Sophora,Alive,Washington Heights South,4
pin oak,Alive,Yorkville,15
Japanese zelkova,Alive,Upper West Side,16
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
sweetgum,Alive,Central Harlem South,8
Sophora,Alive,Washington Heights South,18
Sophora,Alive,Hamilton Heights,4
Sophora,Alive,Morningside Heights,7
white oak,Alive,Central Harlem North-Polo Grounds,4
Sophora,Alive,Washington Heights South,4
pin oak,Alive,East Harlem North,3
ginkgo,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Clinton,11
pin oak,Alive,East Harlem North,4
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
pin oak,Alive,Washington Heights North,11
willow oak,Alive,Hamilton Heights,3
American elm,Alive,SoHo-TriBeCa-Civic Center-Little Italy,1
willow oak,Alive,Upper East Side-Carnegie Hill,16
London planetree,Alive,Central Harlem North-Polo Grounds,18
sweetgum,Alive,Morningside Heights,3
Sophora,Alive,Morningside Heights,12
Sophora,Alive,Washington Heights South,4
Sophora,Alive,Washington Heights South,5
ginkgo,Alive,West Village,7
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
ginkgo,Alive,Washington Heights South,7
ginkgo,Alive,Washington Heights South,9
honeylocust,Alive,Washington Heights South,10
pin oak,Alive,Battery Park City-Lower Manhattan,5
willow oak,Alive,Upper East Side-Carnegie Hill,16
London planetree,Alive,Central Harlem North-Polo Grounds,16
Sophora,Alive,Hamilton Heights,4
white oak,Alive,Central Harlem North-Polo Grounds,5
Sophora,Alive,Hamilton Heights,12
American linden,Alive,East Harlem North,7
honeylocust,Alive,Clinton,10
honeylocust,Alive,Washington Heights South,4
honeylocust,Alive,Yorkville,11
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Washington Heights South,7
American elm,Alive,Upper East Side-Carnegie Hill,24
swamp white oak,Alive,Upper West Side,3
swamp white oak,Alive,Midtown-Midtown South,3
swamp white oak,Alive,Murray Hill-Kips Bay,3
Sophora,Alive,Manhattanville,11
Sophora,Alive,Washington Heights South,18
Sophora,Alive,Washington Heights South,21
Sophora,Alive,Upper East Side-Carnegie Hill,11
Sophora,Alive,Central Harlem South,14
hedge maple,Alive,Washington Heights South,4
pin oak,Alive,Clinton,11
white oak,Alive,Washington Heights South,3
sweetgum,Alive,Central Harlem North-Polo Grounds,3
London planetree,Alive,Upper East Side-Carnegie Hill,17
American elm,Alive,Upper East Side-Carnegie Hill,7
American elm,Alive,Upper East Side-Carnegie Hill,20
honeylocust,Alive,Clinton,4
honeylocust,Alive,Lenox Hill-Roosevelt Island,14
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Upper East Side-Carnegie Hill,14
ginkgo,Alive,Upper East Side-Carnegie Hill,16
honeylocust,Alive,Battery Park City-Lower Manhattan,6
honeylocust,Alive,Central Harlem South,5
London planetree,Alive,Washington Heights South,5
London planetree,Alive,Marble Hill-Inwood,27
London planetree,Alive,Marble Hill-Inwood,38
London planetree,Alive,Central Harlem North-Polo Grounds,5
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
ginkgo,Alive,Yorkville,12
dawn redwood,Alive,West Village,7
willow oak,Alive,Hamilton Heights,4
London planetree,Alive,Hamilton Heights,7
London planetree,Alive,Central Harlem North-Polo Grounds,20
willow oak,Alive,Upper East Side-Carnegie Hill,10
ginkgo,Alive,Central Harlem North-Polo Grounds,6
honeylocust,Alive,Battery Park City-Lower Manhattan,7
honeylocust,Alive,Upper West Side,14
honeylocust,Alive,Central Harlem North-Polo Grounds,18
honeylocust,Alive,Washington Heights North,17
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
American linden,Alive,Hamilton Heights,4
London planetree,Alive,Gramercy,18
American elm,Alive,Upper East Side-Carnegie Hill,24
Chinese elm,Alive,Washington Heights North,16
northern red oak,Alive,Washington Heights South,5
honeylocust,Alive,Clinton,10
honeylocust,Alive,Upper West Side,6
honeylocust,Alive,Central Harlem North-Polo Grounds,6
honeylocust,Alive,Midtown-Midtown South,4
ginkgo,Alive,East Harlem North,4
honeylocust,Alive,East Harlem North,10
honeylocust,Alive,Battery Park City-Lower Manhattan,4
ginkgo,Alive,Washington Heights South,7
ginkgo,Alive,Washington Heights South,10
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Washington Heights South,13
dawn redwood,Alive,Central Harlem North-Polo Grounds,12
flowering dogwood,Alive,Hamilton Heights,2
Sophora,Alive,Central Harlem South,9
Sophora,Alive,West Village,10
Japanese zelkova,Alive,Central Harlem North-Polo Grounds,6
Japanese zelkova,Alive,Central Harlem North-Polo Grounds,6
ginkgo,Alive,Morningside Heights,8
American elm,Alive,Washington Heights South,14
American elm,Alive,Upper East Side-Carnegie Hill,43
Sophora,Alive,Washington Heights South,21
Sophora,Alive,Washington Heights South,24
sweetgum,Alive,Central Harlem South,7
ginkgo,Alive,Washington Heights South,2
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
honeylocust,Alive,East Harlem North,9
American linden,Alive,East Harlem North,13
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
honeylocust,Alive,Murray Hill-Kips Bay,9
green ash,Alive,Central Harlem North-Polo Grounds,14
green ash,Alive,Morningside Heights,10
ginkgo,Alive,Washington Heights South,2
honeylocust,Alive,Upper West Side,12
honeylocust,Alive,Washington Heights South,6
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
honeylocust,Alive,Washington Heights South,4
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,11
cherry,Alive,Washington Heights South,3
honeylocust,Alive,Washington Heights South,3
ginkgo,Alive,Morningside Heights,10
white oak,Alive,Central Harlem North-Polo Grounds,3
Sophora,Alive,Hamilton Heights,13
Callery pear,Alive,Washington Heights South,8
pin oak,Alive,West Village,7
northern red oak,Alive,Clinton,4
Callery pear,Alive,Upper West Side,13
Callery pear,Alive,Yorkville,17
silver linden,Alive,Central Harlem South,4
Callery pear,Alive,Battery Park City-Lower Manhattan,12
Callery pear,Alive,Battery Park City-Lower Manhattan,6
Callery pear,Alive,Yorkville,10
Callery pear,Alive,Yorkville,13
Callery pear,Alive,Upper East Side-Carnegie Hill,12
Chinese elm,Alive,Washington Heights South,4
northern red oak,Alive,Central Harlem North-Polo Grounds,10
Japanese zelkova,Alive,Washington Heights South,9
Chinese elm,Alive,Washington Heights South,4
Japanese zelkova,Alive,Marble Hill-Inwood,4
Callery pear,Alive,Washington Heights South,7
cherry,Alive,East Harlem North,6
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
red maple,Alive,Central Harlem South,3
honeylocust,Alive,West Village,9
honeylocust,Alive,West Village,9
ginkgo,Alive,Upper East Side-Carnegie Hill,3
ginkgo,Alive,East Harlem North,5
ginkgo,Alive,Clinton,2
honeylocust,Alive,West Village,11
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
Japanese zelkova,Alive,Hamilton Heights,2
Japanese zelkova,Alive,East Harlem North,5
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
American elm,Alive,Upper East Side-Carnegie Hill,16
London planetree,Alive,Upper East Side-Carnegie Hill,14
sawtooth oak,Alive,Lincoln Square,3
sawtooth oak,Alive,Lincoln Square,1
ginkgo,Alive,Upper East Side-Carnegie Hill,11
American linden,Alive,Washington Heights South,3
American elm,Alive,SoHo-TriBeCa-Civic Center-Little Italy,11
London planetree,Alive,West Village,10
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Washington Heights South,11
northern red oak,Alive,East Harlem North,4
Chinese elm,Alive,SoHo-TriBeCa-Civic Center-Little Italy,11
northern red oak,Alive,Clinton,4
honeylocust,Alive,Upper West Side,7
honeylocust,Alive,Yorkville,11
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Upper East Side-Carnegie Hill,13
honeylocust,Alive,Battery Park City-Lower Manhattan,5
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,13
ginkgo,Alive,Morningside Heights,8
flowering dogwood,Alive,East Village,9
ginkgo,Alive,Washington Heights South,2
honeylocust,Alive,Upper West Side,13
honeylocust,Alive,Washington Heights South,10
honeylocust,Alive,Washington Heights South,8
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Morningside Heights,10
honeylocust,Alive,Lincoln Square,7
pin oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,7
honeylocust,Alive,West Village,14
honeylocust,Alive,Yorkville,11
honeylocust,Alive,Upper West Side,13
honeylocust,Alive,Washington Heights South,11
Sophora,Alive,Morningside Heights,12
Sophora,Alive,Hamilton Heights,11
ginkgo,Alive,Upper East Side-Carnegie Hill,7
honeylocust,Alive,Lenox Hill-Roosevelt Island,16
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
honeylocust,Alive,Central Harlem South,4
honeylocust,Alive,Central Harlem South,14
Callery pear,Alive,Upper East Side-Carnegie Hill,11
American linden,Alive,Washington Heights North,6
Sophora,Alive,Washington Heights South,12
silver linden,Alive,Washington Heights South,2
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
Callery pear,Alive,Washington Heights North,11
Callery pear,Alive,Yorkville,9
Callery pear,Alive,Battery Park City-Lower Manhattan,5
Callery pear,Alive,Washington Heights South,7
Callery pear,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
London planetree,Alive,Central Harlem North-Polo Grounds,17
American elm,Alive,Washington Heights South,4
American elm,Alive,Washington Heights South,4
tree of heaven,Alive,Yorkville,15
Callery pear,Alive,Yorkville,12
kousa dogwood,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
Callery pear,Alive,Washington Heights South,8
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
honeylocust,Alive,Upper East Side-Carnegie Hill,6
ginkgo,Alive,Hamilton Heights,10
ginkgo,Alive,Morningside Heights,7
Norway maple,Alive,Murray Hill-Kips Bay,7
ginkgo,Alive,Washington Heights South,7
honeylocust,Alive,West Village,3
ginkgo,Alive,Upper East Side-Carnegie Hill,8
honeylocust,Alive,Yorkville,11
American linden,Alive,Hamilton Heights,8
honeylocust,Alive,Washington Heights South,18
honeylocust,Alive,Morningside Heights,12
honeylocust,Alive,Morningside Heights,7
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
honeylocust,Alive,Morningside Heights,11
ginkgo,Alive,Upper East Side-Carnegie Hill,14
honeylocust,Alive,Battery Park City-Lower Manhattan,6
honeylocust,Alive,Lenox Hill-Roosevelt Island,16
honeylocust,Alive,Washington Heights South,4
honeylocust,Alive,Central Harlem North-Polo Grounds,23
pin oak,Alive,Washington Heights North,16
pin oak,Alive,Washington Heights South,6
pin oak,Alive,West Village,3
tree of heaven,Alive,Yorkville,13
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,3
ginkgo,Alive,Upper West Side,9
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Upper East Side-Carnegie Hill,7
honeylocust,Alive,Lincoln Square,11
honeylocust,Alive,East Harlem North,11
American linden,Alive,Washington Heights South,3
ginkgo,Alive,West Village,11
ginkgo,Alive,West Village,8
ginkgo,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
honeylocust,Alive,Washington Heights North,18
ginkgo,Alive,West Village,13
ginkgo,Alive,Upper West Side,16
honeylocust,Alive,Lincoln Square,7
honeylocust,Alive,Washington Heights South,3
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
honeylocust,Alive,Upper West Side,17
honeylocust,Alive,Central Harlem South,5
American linden,Alive,Washington Heights North,4
ginkgo,Alive,West Village,10
ginkgo,Alive,Morningside Heights,11
honeylocust,Alive,East Harlem North,11
honeylocust,Alive,Upper East Side-Carnegie Hill,14
honeylocust,Alive,Lincoln Square,11
honeylocust,Alive,East Harlem North,10
ginkgo,Alive,West Village,3
Japanese zelkova,Alive,Upper East Side-Carnegie Hill,10
Japanese zelkova,Alive,East Harlem North,4
Norway maple,Alive,Upper East Side-Carnegie Hill,6
pin oak,Alive,Hamilton Heights,7
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,15
honeylocust,Alive,Upper East Side-Carnegie Hill,17
ginkgo,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Washington Heights South,3
honeylocust,Alive,Washington Heights South,11
honeylocust,Alive,East Harlem North,6
honeylocust,Alive,Upper East Side-Carnegie Hill,10
sawtooth oak,Alive,Chinatown,4
sawtooth oak,Alive,East Harlem North,15
honeylocust,Alive,East Harlem North,10
honeylocust,Alive,Battery Park City-Lower Manhattan,6
Schumard's oak,Alive,Lower East Side,3
Cornelian cherry,Alive,East Harlem North,3
golden raintree,Alive,Washington Heights South,4
golden raintree,Alive,Washington Heights South,4
honeylocust,Alive,Battery Park City-Lower Manhattan,8
American linden,Alive,Lenox Hill-Roosevelt Island,5
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
Japanese zelkova,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
Japanese zelkova,Alive,Washington Heights South,11
Japanese zelkova,Alive,East Harlem North,12
pin oak,Alive,Central Harlem North-Polo Grounds,25
honeylocust,Alive,Washington Heights South,14
Japanese zelkova,Alive,Washington Heights South,4
honeylocust,Alive,Washington Heights South,11
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,5
ginkgo,Alive,Clinton,10
American linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
ginkgo,Alive,Central Harlem North-Polo Grounds,3
ginkgo,Alive,Upper West Side,5
ginkgo,Alive,Upper West Side,12
flowering dogwood,Alive,Hamilton Heights,3
flowering dogwood,Alive,Hamilton Heights,2
Callery pear,Alive,Washington Heights South,11
pin oak,Alive,Washington Heights North,21
Sophora,Alive,Washington Heights South,8
Sophora,Alive,Hamilton Heights,13
Sophora,Alive,Washington Heights South,4
Sophora,Alive,Washington Heights South,4
ginkgo,Alive,Clinton,8
honeylocust,Alive,East Harlem North,8
Callery pear,Alive,Central Harlem North-Polo Grounds,9
golden raintree,Alive,Washington Heights South,4
American linden,Alive,Washington Heights South,7
green ash,Alive,Central Harlem North-Polo Grounds,7
green ash,Alive,East Harlem North,9
Schumard's oak,Alive,West Village,5
black locust,Alive,Central Harlem South,7
black locust,Alive,Central Harlem South,11
pin oak,Alive,Central Harlem North-Polo Grounds,3
Callery pear,Alive,Battery Park City-Lower Manhattan,8
Callery pear,Alive,Washington Heights South,6
Callery pear,Alive,West Village,8
Callery pear,Alive,Yorkville,20
green ash,Alive,Central Harlem South,11
Callery pear,Alive,Washington Heights South,9
Callery pear,Alive,Upper East Side-Carnegie Hill,18
Callery pear,Alive,Upper East Side-Carnegie Hill,14
Sophora,Alive,Upper West Side,7
Sophora,Alive,Upper West Side,7
honeylocust,Alive,Central Harlem South,3
honeylocust,Alive,Yorkville,9
honeylocust,Alive,Yorkville,9
honeylocust,Alive,Yorkville,11
honeylocust,Alive,Battery Park City-Lower Manhattan,13
honeylocust,Alive,Lenox Hill-Roosevelt Island,11
ginkgo,Alive,Yorkville,11
maple,Alive,SoHo-TriBeCa-Civic Center-Little Italy,2
swamp white oak,Alive,Upper West Side,3
swamp white oak,Alive,Washington Heights South,2
pin oak,Alive,Central Harlem South,10
pin oak,Alive,Yorkville,4
pin oak,Alive,Upper West Side,27
pin oak,Alive,Central Harlem North-Polo Grounds,25
northern red oak,Alive,Washington Heights South,5
ginkgo,Alive,West Village,7
ginkgo,Alive,Washington Heights South,9
ginkgo,Alive,Washington Heights South,2
Japanese zelkova,Alive,Central Harlem South,6
ginkgo,Alive,Washington Heights North,4
littleleaf linden,Alive,Upper West Side,9
littleleaf linden,Alive,Upper West Side,7
littleleaf linden,Alive,Upper East Side-Carnegie Hill,9
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,13
pin oak,Alive,Central Harlem North-Polo Grounds,4
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,15
honeylocust,Alive,East Harlem North,6
honeylocust,Alive,Upper East Side-Carnegie Hill,6
honeylocust,Alive,Washington Heights South,9
ginkgo,Alive,Central Harlem South,9
honeylocust,Alive,Washington Heights South,9
ginkgo,Alive,Battery Park City-Lower Manhattan,4
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Battery Park City-Lower Manhattan,11
Chinese elm,Alive,Washington Heights South,8
littleleaf linden,Alive,East Harlem North,7
littleleaf linden,Alive,Battery Park City-Lower Manhattan,10
ginkgo,Alive,Washington Heights South,20
honeylocust,Alive,Yorkville,9
American linden,Alive,Washington Heights North,3
honeylocust,Alive,Manhattanville,10
honeylocust,Alive,Hamilton Heights,14
honeylocust,Alive,Upper West Side,12
honeylocust,Alive,East Harlem North,12
ginkgo,Alive,West Village,14
Callery pear,Alive,Washington Heights South,3
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,9
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
littleleaf linden,Alive,SoHo-TriBeCa-Civic Center-Little Italy,8
littleleaf linden,Alive,Battery Park City-Lower Manhattan,6
Sophora,Alive,Washington Heights South,4
Sophora,Alive,Washington Heights South,4
white oak,Alive,Washington Heights North,6
Siberian elm,Alive,Upper West Side,25
littleleaf linden,Alive,Yorkville,5
littleleaf linden,Alive,Clinton,14
northern red oak,Alive,Marble Hill-Inwood,6
Japanese zelkova,Alive,East Harlem North,8
ginkgo,Alive,Washington Heights South,14
honeylocust,Alive,Battery Park City-Lower Manhattan,9
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,10
honeylocust,Alive,Battery Park City-Lower Manhattan,11
honeylocust,Alive,Lincoln Square,10
tree of heaven,Alive,Yorkville,9
Callery pear,Alive,Upper East Side-Carnegie Hill,11
tree of heaven,Alive,SoHo-TriBeCa-Civic Center-Little Italy,25
Kentucky coffeetree,Alive,Central Harlem South,13
honeylocust,Alive,SoHo-TriBeCa-Civic Center-Little Italy,4
honeylocust,Alive,Morningside Heights,14
honeylocust,Alive,Yorkville,12
